1 	2016-05-19 23:29:11.652429 	2016-05-19 23:29:21.687058

1 	2016-05-19 23:29:21.688069 	2016-05-19 23:29:25.703001

2 	2016-05-19 23:29:25.911649 	2016-05-19 23:29:35.928902

2 	2016-05-19 23:29:35.929866 	2016-05-19 23:29:39.943252

3 	2016-05-19 23:29:39.944209 	2016-05-19 23:29:49.963541

3 	2016-05-19 23:29:49.964357 	2016-05-19 23:29:53.975686

4 	2016-05-19 23:29:53.976648 	2016-05-19 23:30:03.995943

4 	2016-05-19 23:30:03.996929 	2016-05-19 23:30:08.010188

5 	2016-05-19 23:30:08.011224 	2016-05-19 23:30:18.030637

5 	2016-05-19 23:30:18.032203 	2016-05-19 23:30:22.049567

6 	2016-05-19 23:30:28.023089 	2016-05-19 23:30:38.040919

6 	2016-05-19 23:30:38.041823 	2016-05-19 23:30:42.052942

7 	2016-05-19 23:30:42.053858 	2016-05-19 23:30:52.071066

7 	2016-05-19 23:30:52.072022 	2016-05-19 23:30:56.083163

8 	2016-05-19 23:30:56.552047 	2016-05-19 23:31:06.571591

8 	2016-05-19 23:31:06.572443 	2016-05-19 23:31:10.583661

9 	2016-05-19 23:31:13.255058 	2016-05-19 23:31:23.284370

9 	2016-05-19 23:31:23.285182 	2016-05-19 23:31:27.296023

10 	2016-05-19 23:31:27.298290 	2016-05-19 23:31:37.316106

10 	2016-05-19 23:31:38.553223 	2016-05-19 23:31:42.565041

11 	2016-05-19 23:31:42.566260 	2016-05-19 23:31:52.584017

1 2016-05-19 23:29:15.169454 False C8:5B:EA:43:6F:75 -60 FB:D3:B5:B9:89:F2 -50 F7:24:98:9B:B6:EA -68 C9:EC:7A:17:D8:D5 -61 EA:EF:87:2F:4D:93 -58
1 2016-05-19 23:29:15.276471 False C8:5B:EA:43:6F:75 -58 FB:D3:B5:B9:89:F2 -64 F7:24:98:9B:B6:EA -61 C9:EC:7A:17:D8:D5 -60 EA:EF:87:2F:4D:93 -52
1 2016-05-19 23:29:15.587513 False C8:5B:EA:43:6F:75 -62 FB:D3:B5:B9:89:F2 -65 F7:24:98:9B:B6:EA -71 C9:EC:7A:17:D8:D5 -59 EA:EF:87:2F:4D:93 -56
1 2016-05-19 23:29:15.742532 False C8:5B:EA:43:6F:75 -58 FB:D3:B5:B9:89:F2 -58 F7:24:98:9B:B6:EA -59 C9:EC:7A:17:D8:D5 -57 EA:EF:87:2F:4D:93 -59
1 2016-05-19 23:29:15.891553 False C8:5B:EA:43:6F:75 -66 FB:D3:B5:B9:89:F2 -55 F7:24:98:9B:B6:EA -65 C9:EC:7A:17:D8:D5 -52 EA:EF:87:2F:4D:93 -58
1 2016-05-19 23:29:16.022569 False C8:5B:EA:43:6F:75 -55 FB:D3:B5:B9:89:F2 -52 F7:24:98:9B:B6:EA -62 C9:EC:7A:17:D8:D5 -58 EA:EF:87:2F:4D:93 -51
1 2016-05-19 23:29:16.123588 False C8:5B:EA:43:6F:75 -58 FB:D3:B5:B9:89:F2 -62 F7:24:98:9B:B6:EA -64 C9:EC:7A:17:D8:D5 -57 EA:EF:87:2F:4D:93 -61
1 2016-05-19 23:29:16.301605 False C8:5B:EA:43:6F:75 -59 FB:D3:B5:B9:89:F2 -58 F7:24:98:9B:B6:EA -66 C9:EC:7A:17:D8:D5 -62 EA:EF:87:2F:4D:93 -50
1 2016-05-19 23:29:16.443752 False C8:5B:EA:43:6F:75 -60 FB:D3:B5:B9:89:F2 -56 F7:24:98:9B:B6:EA -74 C9:EC:7A:17:D8:D5 -53 EA:EF:87:2F:4D:93 -51
1 2016-05-19 23:29:16.550640 False C8:5B:EA:43:6F:75 -64 FB:D3:B5:B9:89:F2 -59 F7:24:98:9B:B6:EA -65 C9:EC:7A:17:D8:D5 -59 EA:EF:87:2F:4D:93 -52
1 2016-05-19 23:29:16.649647 False C8:5B:EA:43:6F:75 -56 FB:D3:B5:B9:89:F2 -71 F7:24:98:9B:B6:EA -62 C9:EC:7A:17:D8:D5 -54 EA:EF:87:2F:4D:93 -68
1 2016-05-19 23:29:16.825674 False C8:5B:EA:43:6F:75 -65 FB:D3:B5:B9:89:F2 -58 F7:24:98:9B:B6:EA -61 C9:EC:7A:17:D8:D5 -54 EA:EF:87:2F:4D:93 -52
1 2016-05-19 23:29:16.934686 False C8:5B:EA:43:6F:75 -51 FB:D3:B5:B9:89:F2 -56 F7:24:98:9B:B6:EA -59 C9:EC:7A:17:D8:D5 -54 EA:EF:87:2F:4D:93 -52
1 2016-05-19 23:29:17.036701 False C8:5B:EA:43:6F:75 -63 FB:D3:B5:B9:89:F2 -54 F7:24:98:9B:B6:EA -58 C9:EC:7A:17:D8:D5 -58 EA:EF:87:2F:4D:93 -60
1 2016-05-19 23:29:17.184718 False C8:5B:EA:43:6F:75 -59 FB:D3:B5:B9:89:F2 -55 F7:24:98:9B:B6:EA -64 C9:EC:7A:17:D8:D5 -51 EA:EF:87:2F:4D:93 -57
1 2016-05-19 23:29:17.304733 False C8:5B:EA:43:6F:75 -55 FB:D3:B5:B9:89:F2 -52 F7:24:98:9B:B6:EA -59 C9:EC:7A:17:D8:D5 -52 EA:EF:87:2F:4D:93 -50
1 2016-05-19 23:29:17.510763 False C8:5B:EA:43:6F:75 -53 FB:D3:B5:B9:89:F2 -58 F7:24:98:9B:B6:EA -66 C9:EC:7A:17:D8:D5 -53 EA:EF:87:2F:4D:93 -53
